latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.83626,-73.25101,320.83,0.43,0.62,2026-08-29,0758,N20,nominal,2.0NRT,283.38,2.69,N
45.64382,-73.52432,299.85,0.42,0.61,2026-08-29,0758,N20,nominal,2.0NRT,286.69,0.9,N
45.33997,-73.52416,295.11,0.43,0.62,2026-08-29,0758,N20,nominal,2.0NRT,282.62,0.37,N
45.11381,-73.01084,303.1,0.46,0.64,2026-08-29,0758,N20,nominal,2.0NRT,282.72,1.03,N
49.33624,-96.50198,296.84,0.48,0.48,2026-08-29,0758,N20,nominal,2.0NRT,285.25,0.55,N
49.04325,-102.74964,297.84,0.46,0.64,2026-08-29,0758,N20,nominal,2.0NRT,287.33,0.62,N
46.49178,-81.03404,309.16,0.56,0.43,2026-08-29,0758,N20,nominal,2.0NRT,284.04,0.95,N
46.488,-81.0358,299.86,0.56,0.43,2026-08-29,0758,N20,nominal,2.0NRT,280.58,0.95,N
49.04541,-102.74875,298.23,0.46,0.64,2026-08-29,0758,N20,nominal,2.0NRT,287.06,0.69,N
48.63466,-103.31591,310.92,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,285.93,1.36,N
48.63335,-103.31456,307.75,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,285.57,0.76,N
48.58634,-103.40533,296.56,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,284.59,0.42,N
48.57368,-103.36461,300.97,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,283.47,0.48,N
48.32822,-103.3784,298.01,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,283.58,0.6,N
48.06612,-103.39848,307.34,0.49,0.65,2026-08-29,0758,N20,nominal,2.0NRT,286.87,1.49,N
47.87298,-102.9115,310.29,0.46,0.64,2026-08-29,0758,N20,nominal,2.0NRT,285.95,1.94,N
